Concept name	OntologyNodes	Assigned indicator	Default indicator match	Description	DatamartIdentifier1	DatamartIdentifier2	DatamartIdentifier3	Cheryl's Score for CauseMos Default Indicator	Cheryl's Better Default Available (Yes/No/Node Issue)	Cheryl's Composite Score for CauseMos Default	Cheryl's Score for UAZ Indicators	Cheryl's Better Sets Available (BeatsBest/BetterCoverage/No)	Cheryl's Composite Score for UAZ	"Cheryl's Causemos Default beats UAZ (1 if true, blank if not)"	"Cheryl's UAZ beats Causemos Default (1 if true, blank if not)"	Robyn's Score for Default Indicator	Robyn's Better Default Available (Yes/No/Node Issue)	Robyn's composite score for Default Indicator	Robyn's Score for UAZ Indicators	Robyn's Better Sets Available (BeatsBest/BetterCoverage/No)	Robyn's composite score for UAZ indicators	"Robyn's Causemos Default beats UAZ (1 if true, blank if not)"	"Robyn's UAZ beats Causemos Default (1 if true, blank if not)"	Cheryl's Datamart 1	Cheryl's Datamart 1 Description	Gold1a	Cheryl's  Datamart2	Cheryl's Datamart2 Description	Gold2a	Cheryl's Datamart 3	Cheryl's Datamart 3 Description	Gold3a	Cheryl's Comments	RK Dataset 1	RK Output 1	Gold1b	RK Dataset 2	RK Output 2	Gold2b	RK Dataset 3	RK Output 3	Gold3b	Robyn's Notes																									
American Global Perception	American Global Perception	Fragile States Index	null		DOJO/WDI_urban_population_growth_annual/urban_population_growth_annual	DOJO/WDI_urban_population/urban_population	DOJO/WDI_population_total/population_total																																																													
Chinese Aid	Chinese Aid	Geocoded Global Chinese Official Finance Dataset (Version 1.0.1) - Aid data only for 2000-2014 - From AidData (oda-like_flows.xlsx)	null		DOJO/UAZ_VUAZ-44/VUAZ-44	DOJO/UAZ_VUAZ-39/VUAZ-39	DOJO/UAZ_VUAZ-47/VUAZ-47																																																													
Democracy Human Rights and Governance Aid	Democracy Human Rights and Governance Aid	null	null		DOJO/WDI_cpia_policies_for_social_inclusion_equity_cluster_average_1_low_to_6_high/cpia_policies_for_social_inclusion_equity_cluster_average_1_low_to_6_high	DOJO/UAZ_VUAZ-6977/VUAZ-6977	DOJO/f891e0d2-1557-434c-9d3d-ff417462a6e7/P3: Human Rights																																																													
Economic Development Aid	Economic Development Aid	null	null		DOJO/WDI_net_oda_provided_total_current_us/net_oda_provided_total_current_us	DOJO/WDI_net_oda_provided_total_constant_2015_us/net_oda_provided_total_constant_2015_us	DOJO/WDI_net_oda_provided_total_of_gni/net_oda_provided_total_of_gni	0	yes	1	3	No	3		1	0	yes	1	3	No	3		1	"{""id"":""WDI_net_bilateral_aid_flows_from_dac_donors_european_union_institutions_current_us"""	",""display_name"":""Net bilateral aid flows from DAC donors, European Union institutions (current US$)"""		"{""id"":""WDI_net_bilateral_aid_flows_from_dac_donors_canada_current_us"",,""name"":""World Development Indicators"""	",""display_name"":""Net bilateral aid flows from DAC donors, Canada (current US$)"""		"{""id"":""WDI_net_oda_received_of_gni"""	",""display_name"":""Net ODA received (% of GNI)"" (official development assistance)"		"62 collection descrption cells match ""economic development."" They reflect bilateral aid.  Differences primarily involve the specific source. Cheryl has no preference between #1, #2, #3, or others. UAZ returns are all acceptable."	test_Foreign Aid Distribution_1	Received Aid		Total Foreign Aid by Year - Djibouti	Constant Amount					I only found Djibouti-specific indicators																									
Election Delay	Election Delay	null	null		DOJO/d3b38047-15b9-4032-b745-ccc6734972fd/office	DOJO/e8f6aa91-2b52-4daa-b15b-ac1deac63940/office	DOJO/03913101-ee9b-4b01-aac2-af2ee1ac1d4f/Voting age population																																																													
Environment Aid	Environment Aid	null	null		DOJO/WDI_cpia_business_regulatory_environment_rating_1_low_to_6_high/cpia_business_regulatory_environment_rating_1_low_to_6_high	DOJO/WDI_cpia_policy_and_institutions_for_environmental_sustainability_rating_1_low_to_6_high/cpia_policy_and_institutions_for_environmental_sustainability_rating_1_low_to_6_high	DOJO/UAZ_VUAZ-6966/VUAZ-6966																																																													
Ethiopian Conflict	Ethiopian Conflict	"MAJOR EPISODES OF POLITICAL VIOLENCE (MEPV) AND CONFLICT REGIONS, 1946-2018 (MEPVv2018.xlsx)"	null		DOJO/1f853c0d-5cde-4f94-8811-6bb9bd84d2d6/admin1	DOJO/f3db0792-acfc-4551-8cbd-0f5ccf8bc90c/admin2	DOJO/1f853c0d-5cde-4f94-8811-6bb9bd84d2d6/admin2																																																													
Ethiopian US Cooperation	Ethiopian US Cooperation	null	null		DOJO/8f8e169b-544b-4e48-9ad7-2ef73e31640a/country_non_primary	DOJO/709abbb4-9219-497d-9d31-e12bab1043c5/country_non_primary	DOJO/1f853c0d-5cde-4f94-8811-6bb9bd84d2d6/country																																																													
Health Aid	Health Aid	null	null		DOJO/WDI_community_health_workers_per_1_000_people/community_health_workers_per_1_000_people	DOJO/WDI_physicians_per_1_000_people/physicians_per_1_000_people	DOJO/UAZ_VUAZ-7098/VUAZ-7098	0	yes	1	2	No	3		1	0	yes	1	2	No	3		1	"{""id"":""WDI_community_health_workers_per_1_000_people"",,""name"":""World Development Indicators"""			"{""id"":""UAZ_VUAZ-8315"",,""name"":""University of Arizona Indicators """			"{""id"":""UAZ_VUAZ-7904"",,""name"":""University of Arizona Indicators """			"The node is ambiguous, potentially referring to financial aid for health (most likely, given singular form ""Aid"") or health workers. There is no occurrence of financial aid for medical/health purposes. There are several occurrences of community health workers, but not  necessarily from outside the country. Most occurrences of ""aid"" refer to food aid or bilateral aid. UAZ' third dataset is WDI: External health expenditure[% of current health expenditure]"	University of Arizona Indicators 	WDI: External health expenditure per capita[current US$]		test_Foreign Aid Distribution_1	Received Aid		Total Foreign Aid by Year - Djibouti	Constant Amount		"I feel that there are indicators that could/should be suggested for this node, even if none of them is a perfect match.  UAZ's choices seem reasonable"																									
Humanitarian Assistance Aid	Humanitarian Assistance Aid	null	null		DOJO/UAZ_VUAZ-7430/VUAZ-7430	DOJO/UAZ_VUAZ-7429/VUAZ-7429	DOJO/UAZ_VUAZ-7432/VUAZ-7432																																																													
International American Cooperation	International American Cooperation	null	null		DOJO/d0762e9f-85f2-476b-872c-600bf2bc4b0b/country	DOJO/f3db0792-acfc-4551-8cbd-0f5ccf8bc90c/country	DOJO/fed1b025-a039-4a60-b033-59114ede203e/country																																																													
Kenyan cooperation with the US	Kenyan cooperation with the US	null	null		DOJO/WDI_cost_to_import_documentary_compliance_us/cost_to_import_documentary_compliance_us	DOJO/WDI_time_to_export_documentary_compliance_hours/time_to_export_documentary_compliance_hours	DOJO/WDI_time_to_import_documentary_compliance_hours/time_to_import_documentary_compliance_hours																																																													
Peace and Security Aid Ethiopia	Peace and Security Aid Ethiopia	null	null		DOJO/WDI_presence_of_peace_keepers_number_of_troops_police_and_military_observers_in_mandate/presence_of_peace_keepers_number_of_troops_police_and_military_observers_in_mandate	DOJO/WDI_military_expenditure_current_lcu/military_expenditure_current_lcu	DOJO/WDI_military_expenditure_of_general_government_expenditure/military_expenditure_of_general_government_expenditure																																																													
Peace and Security Aid Kenya	Peace and Security Aid Kenya	null	null		DOJO/WDI_military_expenditure_of_general_government_expenditure/military_expenditure_of_general_government_expenditure	DOJO/WDI_military_expenditure_current_usd/military_expenditure_current_usd	DOJO/WDI_military_expenditure_current_lcu/military_expenditure_current_lcu	0	Yes	1	1	BeatsBest	1			0	yes	1	2	BeatsBest	2		1	"{""id"":""WDI_presence_of_peace_keepers_number_of_troops_police_and_military_observers_in_mandate"", ,""name"":""World Development Indicators"""	",""display_name"":""Presence of peace keepers (number of troops, police, and military observers in mandate)"", ,""description"":""SOURCE NOTE: Presence of peacebuilders and peacekeepers are active in peacebuilding and peacekeeping. Peacebuilding reduces the risk of lapsing or relapsing into conflict by strengthening national capacities at all levels of for conflict management, and to lay the foundation for sustainable peace and development. Peacekeepers provide essential security to preserve the peace, however fragile, where fighting has been halted, and to assist in implementing agreements achieved by the peacemakers. Peacekeepers deploy to war-torn regions where no one else is willing or able to go and prevent conflict from returning or escalating. Peacekeepers include police, troops, and military observers.\\nSOURCE ORGANIZATION: UN Department of Peacekeeping Operations, http://www.un.org/en/peacekeeping/."""								"This is an example of regional specification. Most occurrences of ""aid""  refer to food aid or bilateral aid. Aid coud be in terms of expense or quanity delivered. UAZ returns are all about expenditure, which is quite different from aid."	World Development Indicators	"Presence of peace keepers (number of troops, police, and military observers in mandate)"		World Development Indicators	"Net official flows from UN agencies, UNDP (current US$)"					Robyn's second dataset includes National Peacebuilding Fund																									
Peace and security Aid Somalia	Peace and security Aid Somalia	null	null		DOJO/d0762e9f-85f2-476b-872c-600bf2bc4b0b/country	DOJO/1f853c0d-5cde-4f94-8811-6bb9bd84d2d6/country	DOJO/fed1b025-a039-4a60-b033-59114ede203e/country																																																													
Somali Conflict	Somali Conflict	"MAJOR EPISODES OF POLITICAL VIOLENCE (MEPV) AND CONFLICT REGIONS, 1946-2018 (MEPVv2018.xlsx)"	null		DOJO/1f853c0d-5cde-4f94-8811-6bb9bd84d2d6/admin1	DOJO/f3db0792-acfc-4551-8cbd-0f5ccf8bc90c/admin2	DOJO/1f853c0d-5cde-4f94-8811-6bb9bd84d2d6/admin2																																																													
