datamart_id	dataset_id	dataset_name	dataset_description	dataset_url	variable_id	variable_name	variable_description
ISI	UAZ	UAZ Indicators	"Collection of indicators, including indicators from FAO, WDI, FEWSNET, CLiMIS, UNICEF, ieconomics.com, UNHCR, DSSAT, WHO, IMF, WHP, ACLDE, World Bank and IOM-DTM"	https://github.com/ml4ai/delphi	VUAZ-0	"FAO: Agriculture and forestry energy use as a % of total Energy use, Energy used in agriculture and forestry[%]"	"FAO: Agriculture and forestry energy use as a % of total Energy use, Energy used in agriculture and forestry[%]"
ISI	UAZ	UAZ Indicators	"Collection of indicators, including indicators from FAO, WDI, FEWSNET, CLiMIS, UNICEF, ieconomics.com, UNHCR, DSSAT, WHO, IMF, WHP, ACLDE, World Bank and IOM-DTM"	https://github.com/ml4ai/delphi	VUAZ-1	"FAO: Bioenergy production as a % of total renewable energy production, Bioenergy production[%]"	"FAO: Bioenergy production as a % of total renewable energy production, Bioenergy production[%]"
ISI	UAZ	UAZ Indicators	"Collection of indicators, including indicators from FAO, WDI, FEWSNET, CLiMIS, UNICEF, ieconomics.com, UNHCR, DSSAT, WHO, IMF, WHP, ACLDE, World Bank and IOM-DTM"	https://github.com/ml4ai/delphi	VUAZ-10	"FAO: Emissions (CO2) (Energy), Energy used in fishery[Gigagrams]"	"FAO: Emissions (CO2) (Energy), Energy used in fishery[Gigagrams]"
ISI	UAZ	UAZ Indicators	"Collection of indicators, including indicators from FAO, WDI, FEWSNET, CLiMIS, UNICEF, ieconomics.com, UNHCR, DSSAT, WHO, IMF, WHP, ACLDE, World Bank and IOM-DTM"	https://github.com/ml4ai/delphi	VUAZ-100	"FAO: Value US$, 2005 prices, Gross Fixed Capital Formation (Agriculture, Forestry and Fishing)[millions]"	"FAO: Value US$, 2005 prices, Gross Fixed Capital Formation (Agriculture, Forestry and Fishing)[millions]"
ISI	UAZ	UAZ Indicators	"Collection of indicators, including indicators from FAO, WDI, FEWSNET, CLiMIS, UNICEF, ieconomics.com, UNHCR, DSSAT, WHO, IMF, WHP, ACLDE, World Bank and IOM-DTM"	https://github.com/ml4ai/delphi	VUAZ-1000	"FAO: Emissions (CO2eq), Energy total[Gigagrams]"	"FAO: Emissions (CO2eq), Energy total[Gigagrams]"
ISI	UAZ	UAZ Indicators	"Collection of indicators, including indicators from FAO, WDI, FEWSNET, CLiMIS, UNICEF, ieconomics.com, UNHCR, DSSAT, WHO, IMF, WHP, ACLDE, World Bank and IOM-DTM"	https://github.com/ml4ai/delphi	VUAZ-1001	"FAO: Emissions (CO2eq), Enteric Fermentation[gigagrams]"	"FAO: Emissions (CO2eq), Enteric Fermentation[gigagrams]"
ISI	UAZ	UAZ Indicators	"Collection of indicators, including indicators from FAO, WDI, FEWSNET, CLiMIS, UNICEF, ieconomics.com, UNHCR, DSSAT, WHO, IMF, WHP, ACLDE, World Bank and IOM-DTM"	https://github.com/ml4ai/delphi	VUAZ-1002	"FAO: Emissions (CO2eq), Forest[Gigagrams]"	"FAO: Emissions (CO2eq), Forest[Gigagrams]"
ISI	UAZ	UAZ Indicators	"Collection of indicators, including indicators from FAO, WDI, FEWSNET, CLiMIS, UNICEF, ieconomics.com, UNHCR, DSSAT, WHO, IMF, WHP, ACLDE, World Bank and IOM-DTM"	https://github.com/ml4ai/delphi	VUAZ-1003	"FAO: Emissions (CO2eq), Industrial processes and product use[Gigagrams]"	"FAO: Emissions (CO2eq), Industrial processes and product use[Gigagrams]"
ISI	UAZ	UAZ Indicators	"Collection of indicators, including indicators from FAO, WDI, FEWSNET, CLiMIS, UNICEF, ieconomics.com, UNHCR, DSSAT, WHO, IMF, WHP, ACLDE, World Bank and IOM-DTM"	https://github.com/ml4ai/delphi	VUAZ-1004	"FAO: Emissions (CO2eq), Land Use total[Gigagrams]"	"FAO: Emissions (CO2eq), Land Use total[Gigagrams]"
ISI	UAZ	UAZ Indicators	"Collection of indicators, including indicators from FAO, WDI, FEWSNET, CLiMIS, UNICEF, ieconomics.com, UNHCR, DSSAT, WHO, IMF, WHP, ACLDE, World Bank and IOM-DTM"	https://github.com/ml4ai/delphi	VUAZ-1005	"FAO: Emissions (CO2eq), Land use sources[Gigagrams]"	"FAO: Emissions (CO2eq), Land use sources[Gigagrams]"
ISI	UAZ	UAZ Indicators	"Collection of indicators, including indicators from FAO, WDI, FEWSNET, CLiMIS, UNICEF, ieconomics.com, UNHCR, DSSAT, WHO, IMF, WHP, ACLDE, World Bank and IOM-DTM"	https://github.com/ml4ai/delphi	VUAZ-1006	"FAO: Emissions (CO2eq), Manure Management[gigagrams]"	"FAO: Emissions (CO2eq), Manure Management[gigagrams]"
ISI	UAZ	UAZ Indicators	"Collection of indicators, including indicators from FAO, WDI, FEWSNET, CLiMIS, UNICEF, ieconomics.com, UNHCR, DSSAT, WHO, IMF, WHP, ACLDE, World Bank and IOM-DTM"	https://github.com/ml4ai/delphi	VUAZ-1007	"FAO: Emissions (CO2eq), Manure applied to Soils[gigagrams]"	"FAO: Emissions (CO2eq), Manure applied to Soils[gigagrams]"
ISI	UAZ	UAZ Indicators	"Collection of indicators, including indicators from FAO, WDI, FEWSNET, CLiMIS, UNICEF, ieconomics.com, UNHCR, DSSAT, WHO, IMF, WHP, ACLDE, World Bank and IOM-DTM"	https://github.com/ml4ai/delphi	VUAZ-1008	"FAO: Emissions (CO2eq), Manure left on Pasture[gigagrams]"	"FAO: Emissions (CO2eq), Manure left on Pasture[gigagrams]"
ISI	UAZ	UAZ Indicators	"Collection of indicators, including indicators from FAO, WDI, FEWSNET, CLiMIS, UNICEF, ieconomics.com, UNHCR, DSSAT, WHO, IMF, WHP, ACLDE, World Bank and IOM-DTM"	https://github.com/ml4ai/delphi	VUAZ-1009	"FAO: Emissions (CO2eq), Meat, cattle[gigagrams]"	"FAO: Emissions (CO2eq), Meat, cattle[gigagrams]"
ISI	UAZ	UAZ Indicators	"Collection of indicators, including indicators from FAO, WDI, FEWSNET, CLiMIS, UNICEF, ieconomics.com, UNHCR, DSSAT, WHO, IMF, WHP, ACLDE, World Bank and IOM-DTM"	https://github.com/ml4ai/delphi	VUAZ-101	"FAO: Value US$, 2005 prices, Net Capital Stocks (Agriculture, Forestry and Fishing)[millions]"	"FAO: Value US$, 2005 prices, Net Capital Stocks (Agriculture, Forestry and Fishing)[millions]"
ISI	UAZ	UAZ Indicators	"Collection of indicators, including indicators from FAO, WDI, FEWSNET, CLiMIS, UNICEF, ieconomics.com, UNHCR, DSSAT, WHO, IMF, WHP, ACLDE, World Bank and IOM-DTM"	https://github.com/ml4ai/delphi	VUAZ-1010	"FAO: Emissions (CO2eq), Meat, chicken[gigagrams]"	"FAO: Emissions (CO2eq), Meat, chicken[gigagrams]"
ISI	UAZ	UAZ Indicators	"Collection of indicators, including indicators from FAO, WDI, FEWSNET, CLiMIS, UNICEF, ieconomics.com, UNHCR, DSSAT, WHO, IMF, WHP, ACLDE, World Bank and IOM-DTM"	https://github.com/ml4ai/delphi	VUAZ-1011	"FAO: Emissions (CO2eq), Meat, goat[gigagrams]"	"FAO: Emissions (CO2eq), Meat, goat[gigagrams]"
ISI	UAZ	UAZ Indicators	"Collection of indicators, including indicators from FAO, WDI, FEWSNET, CLiMIS, UNICEF, ieconomics.com, UNHCR, DSSAT, WHO, IMF, WHP, ACLDE, World Bank and IOM-DTM"	https://github.com/ml4ai/delphi	VUAZ-1012	"FAO: Emissions (CO2eq), Meat, pig[gigagrams]"	"FAO: Emissions (CO2eq), Meat, pig[gigagrams]"
ISI	UAZ	UAZ Indicators	"Collection of indicators, including indicators from FAO, WDI, FEWSNET, CLiMIS, UNICEF, ieconomics.com, UNHCR, DSSAT, WHO, IMF, WHP, ACLDE, World Bank and IOM-DTM"	https://github.com/ml4ai/delphi	VUAZ-1013	"FAO: Emissions (CO2eq), Meat, sheep[gigagrams]"	"FAO: Emissions (CO2eq), Meat, sheep[gigagrams]"
ISI	UAZ	UAZ Indicators	"Collection of indicators, including indicators from FAO, WDI, FEWSNET, CLiMIS, UNICEF, ieconomics.com, UNHCR, DSSAT, WHO, IMF, WHP, ACLDE, World Bank and IOM-DTM"	https://github.com/ml4ai/delphi	VUAZ-1014	"FAO: Emissions (CO2eq), Milk, whole fresh camel[gigagrams]"	"FAO: Emissions (CO2eq), Milk, whole fresh camel[gigagrams]"
